apple,AS714
apple,AS6185
amazon,AS16509
amazon,AS38895
amazon,AS14618
amazon,AS8987
amazon,AS62785
amazon,AS7224
google,AS36384
google,AS36492
google,AS41264
google,AS15169
google,AS45566
google,AS22577
google,AS36040
google,AS139190
google,AS139070
google,AS19527
google,AS396982
google,AS394699
google,AS43515
google,AS395973
google,AS36385
google,AS394725
google,AS19448
google,AS36039
google,AS394639
google,AS24424
facebook,AS32934
facebook,AS54115
facebook,AS63293Ê
facebook,AS11917
microsoft,AS8072
microsoft,AS23468
microsoft,AS3598
microsoft,AS26222
microsoft,AS6182
microsoft,AS8075
microsoft,AS8069
microsoft,AS13811
microsoft,AS20046
microsoft,AS8068
microsoft,AS396463
microsoft,AS8070
microsoft,AS8068
microsoft,AS6584
microsoft,AS198015
microsoft,AS23468
microsoft,AS62540
microsoft,AS3598
microsoft,AS36459